P,Speedup,Efficiency %
1,1.0,100.0
2,1.9685284056395662,98.42642028197831
4,3.95582481545489,98.89562038637226
8,7.865222217538534,98.31527771923167
16,15.703625114129629,98.14765696331018
32,31.352876179419415,97.97773806068567
