N\P,1,2,4,8,16,32
32000,6.09158,3.08108,1.54175,0.772267,0.388739,0.198428
64000,24.0831,12.3029,6.15673,3.06992,1.54326,0.771596
128000,96.7398,48.9406,24.4729,12.283,6.15934,3.08285
256000,385.357,195.456,97.472,48.9763,24.5149,12.3052
512000,1537.12,778.643,388.079,195.423,98.1537,49.148
1024000,6157.36,3127.9,1556.53,782.859,392.098,196.389
