P\N,1000000, 16000000, 32000000, 6400000, 128000000
1,0.032207,0.507866,1.01414,2.03924,4.06346
16,0.0127594,0.0562087,0.105999,0.205855,0.401718
32,0.00759584,0.0302105,0.0576539,0.108612,0.21042
64,0.00677116,0.0180159,0.030439,0.0571724,0.109306
128,0.00585867,0.0115465,0.018103,0.0306702,0.0594801
